cty,industry,industry_naics_code,industry_employment
1023,Wholesale trade,42,136
1023,Retail Trade,44,420
1023,Transportation & Warehousing,48,106
1023,Information,51,0
1023,Finance & insurance,52,85
1023,Real estate & rental & leasing,53,0
1023,"Professional, scientific, & technical services",54,74
1023,Management of companies & enterprises,55,0
1023,Administrative & support & waste management & remediation serv,56,71
1023,Educational services,61,0
1023,Health care & social assistance,62,210
1023,"Arts, entertainment, & recreation",71,0
1023,Accommodation & foodservices,72,154
1023,Other services (except public administration),81,91
1023,Unclassified,99,0
1025,"Agriculture, forestry, fishing, & hunting",11,482
1025,Mining,21,0
1025,Utilities,22,104
1025,Construction,23,282
1025,Manufacturing,31,1907
1025,Wholesale trade,42,82
1025,Retail Trade,44,1577
1025,Transportation & Warehousing,48,167
1025,Information,51,86
1025,Finance & insurance,52,393
1025,Real estate & rental & leasing,53,79
1025,"Professional, scientific, & technical services",54,108
1025,Management of companies & enterprises,55,0
1025,Administrative & support & waste management & remediation serv,56,141
1025,Educational services,61,208
1025,Health care & social assistance,62,867
1025,"Arts, entertainment, & recreation",71,0
1025,Accommodation & foodservices,72,542
1025,Other services (except public administration),81,415
1025,Unclassified,99,0
1027,"Agriculture, forestry, fishing, & hunting",11,133
1027,Mining,21,0
1027,Utilities,22,0
1027,Construction,23,121
1027,Manufacturing,31,2509
1027,Wholesale trade,42,0
1027,Retail Trade,44,433
1027,Transportation & Warehousing,48,152
1027,Information,51,0
1027,Finance & insurance,52,75
1027,Real estate & rental & leasing,53,23
1027,"Professional, scientific, & technical services",54,38
1027,Administrative & support & waste management & remediation serv,56,0
1027,Educational services,61,0
1027,Health care & social assistance,62,602
1027,Accommodation & foodservices,72,116
1027,Other services (except public administration),81,118
1027,Unclassified,99,0
1029,"Agriculture, forestry, fishing, & hunting",11,44
1029,Utilities,22,0
1029,Construction,23,337
1029,Manufacturing,31,1031
1029,Wholesale trade,42,68
1029,Retail Trade,44,250
1029,Transportation & Warehousing,48,0
1029,Information,51,0
1029,Finance & insurance,52,45
1029,Real estate & rental & leasing,53,0
1029,"Professional, scientific, & technical services",54,37
1029,Administrative & support & waste management & remediation serv,56,0
1029,Health care & social assistance,62,184
1029,"Arts, entertainment, & recreation",71,0
1029,Accommodation & foodservices,72,187
1029,Other services (except public administration),81,93
1029,"Auxiliaries, exc corp, subsidiary, & regional managing offices",95,0
1029,Unclassified,99,0
1031,"Agriculture, forestry, fishing, & hunting",11,0
1031,Utilities,22,0
1031,Construction,23,459
1031,Manufacturing,31,3011
1031,Wholesale trade,42,240
1031,Retail Trade,44,2252
1031,Transportation & Warehousing,48,0
1031,Information,51,293
1031,Finance & insurance,52,558
1031,Real estate & rental & leasing,53,173
1031,"Professional, scientific, & technical services",54,547
1031,Administrative & support & waste management & remediation serv,56,200
1031,Educational services,61,0
1031,Health care & social assistance,62,1652
1031,"Arts, entertainment, & recreation",71,116
1031,Accommodation & foodservices,72,1001
1031,Other services (except public administration),81,725
1031,Unclassified,99,1
1033,"Agriculture, forestry, fishing, & hunting",11,0
1033,Mining,21,66
1033,Utilities,22,0
1033,Construction,23,1435
